stock,selloff_date,entry_date,exit_date,branch,z,spy_z,vr,ret,ret_net,bench_ret,excess_ret
CVS,2017-10-27,2017-11-01,2017-11-08,idiosyncratic,-4.16002199849927,0.925934703398575,3.687891218612056,-0.00014509594332334785,-0.0011450959433233479,0.01347948682952671,-0.014624582772850059
CVS,2018-02-08,2018-02-13,2018-02-21,market_wide,-3.5965303406022473,-3.6164602928886174,1.1472652500506353,-0.01925525345531931,-0.02025525345531931,0.01109499988083229,-0.0313502533361516
CVS,2018-02-23,2018-02-28,2018-03-07,idiosyncratic,-3.4546812636768416,0.31249316327486076,0.6234862081817527,-0.0032482916637063264,-0.004248291663706326,0.007365731470308834,-0.011614023134015161
CVS,2018-03-22,2018-03-27,2018-04-04,market_wide,-2.925616807242542,-5.30851494109199,1.015046389291943,0.06072619609018126,0.05972619609018126,0.019879531803801864,0.039846664286379396
CVS,2018-05-07,2018-05-10,2018-05-17,idiosyncratic,-3.1440154944082446,0.22352997404048863,1.0508956221846846,0.053170840722339685,0.052170840722339684,0.015090056866575052,0.03708078385576463
CVS,2018-05-31,2018-06-05,2018-06-12,market_wide,-5.877119796056879,-1.9281038828130967,2.33298636737081,0.047686530705510544,0.04668653070551054,0.017887106300571,0.028799424404939544
CVS,2018-06-29,2018-07-05,2018-07-12,market_wide,-4.02547298407873,-2.124658063400273,1.0585636794751032,0.044553800449027126,0.043553800449027125,0.027237267527867592,0.016316532921159532
CVS,2018-07-31,2018-08-03,2018-08-10,market_wide,-2.8194786141046597,-1.8183225942660488,1.640708750247824,0.0641084622917889,0.0631084622917889,-0.0009767109164205978,0.0640851732082095
CVS,2018-10-11,2018-10-16,2018-10-23,market_wide,-14.880896208734494,-4.84868148400939,2.6464564210774015,-0.01043474118801857,-0.011434741188018571,-0.02933826573325704,0.01790352454523847
CVS,2018-10-24,2018-10-29,2018-11-05,market_wide,-4.847619132651379,-5.515119565730182,0.7598742908595785,0.04465561130607587,0.04365561130607587,0.04429575222163207,-0.0006401409155561977
CVS,2018-12-07,2018-12-12,2018-12-19,market_wide,-3.051104830352787,-3.122144043623378,0.8288682297146626,-0.0793288728715803,-0.0803288728715803,-0.057576336723023536,-0.022752536148556768
CVS,2019-03-27,2019-04-01,2019-04-08,market_wide,-4.3687867410734595,-2.95498016384724,1.4780110230752759,-0.000738265238157787,-0.001738265238157787,0.00627286890959744,-0.008011134147755228
CVS,2019-04-04,2019-04-09,2019-04-16,idiosyncratic,-2.547933356611058,0.2561347900809228,0.7901845050092181,0.003350626989287786,0.002350626989287786,0.020160720738837234,-0.01781009374954945
CVS,2019-05-14,2019-05-17,2019-05-24,market_wide,-3.8974510152033104,-2.593850183219251,0.8643649350055402,0.0035929554763070026,0.0025929554763070026,-0.012676264015015537,0.015269219491322539
CVS,2019-05-23,2019-05-29,2019-06-05,market_wide,-2.537643728019678,-2.7436613977979483,0.9753211717275387,0.012376427105182053,0.011376427105182052,0.030989671413936826,-0.019613244308754774
CVS,2019-06-20,2019-06-25,2019-07-02,idiosyncratic,-2.5661745848498465,1.2141512508358492,1.831594715190442,0.020864485920532916,0.019864485920532915,0.02970461643081057,-0.009840130510277656
CVS,2019-07-25,2019-07-30,2019-08-06,market_wide,-2.5121316749127125,-1.0075863650327148,0.6225911517744783,-0.04316294057551939,-0.044162940575519394,-0.05686096704098176,0.012698026465462364
CVS,2019-09-25,2019-09-30,2019-10-07,market_wide,-4.050536327430404,-1.8724534949214933,0.8020602931481698,-0.017124184232978457,-0.018124184232978457,-0.017280565928601388,-0.0008436183043770695
CVS,2019-10-03,2019-10-08,2019-10-15,market_wide,-3.4404166304281487,-2.79690093470794,0.8898752355060234,0.07370009147456136,0.07270009147456136,0.048696832668198686,0.02400325880636267
CVS,2019-12-03,2019-12-06,2019-12-13,market_wide,-3.7689087740492453,-3.4212527892535185,0.930613744839524,-0.023487451217860555,-0.024487451217860556,0.010227082943461419,-0.034714534161321975
CVS,2019-12-17,2019-12-20,2019-12-30,idiosyncratic,-2.709579734481624,0.02332011444132353,1.3510851498963756,-0.01179936282170646,-0.012799362821706461,-0.0067826658042825505,-0.006016697017423911
