stock,low_date,entry_date,exit_date,pct1,exit_reason,ret,ret_net,days_held,bench_ret,excess_ret
XOM,2020-05-13,2020-05-15,2020-05-22,0.008824622093702335,hold_days,0.06190460969860978,0.06090460969860978,5,0.02895903340224848,0.0319455762963613
XOM,2021-05-25,2021-05-27,2021-05-28,0.011671707322713873,early_reversal,-0.0032444208371953387,-0.004244420837195339,1,0.002952442670210109,-0.007196863507405448
XOM,2023-02-02,2023-02-06,2023-02-13,0.0069275866416027496,hold_days,0.06244023411892696,0.06144023411892696,5,0.00545950293767361,0.05598073118125335
XOM,2023-06-20,2023-06-22,2023-06-23,0.011195661955764252,early_reversal,-0.00871268581747775,-0.00971268581747775,1,-0.007433791520543687,-0.002278894296934064
XOM,2024-04-26,2024-04-30,2024-05-01,0.014241980305843529,early_reversal,-0.018939674842378462,-0.019939674842378463,1,-0.01243052714907611,-0.007509147693302354
XOM,2024-09-11,2024-09-13,2024-09-20,0.0137623691028056,hold_days,0.03706695561540685,0.03606695561540685,5,0.015797485709220238,0.02026946990618661
XOM,2025-05-05,2025-05-07,2025-05-14,0.013944047262854095,hold_days,0.036994546893452274,0.03599454689345227,5,0.0320801697786659,0.0039143771147863715
XOM,2025-05-28,2025-05-30,2025-06-06,0.0056801207181819266,hold_days,0.019256977056434588,0.018256977056434587,5,0.022809238137218912,-0.0045522610807843256
ORCL,2016-05-19,2016-05-23,2016-05-31,0.014675103757377295,hold_days,0.026033885428711878,0.025033885428711877,5,0.028040050799980065,-0.003006165371268188
ORCL,2016-09-09,2016-09-13,2016-09-20,0.016237943634155854,hold_days,-0.02762512483272961,-0.02862512483272961,5,0.006249402496069756,-0.034874527328799365
ORCL,2018-05-29,2018-05-31,2018-06-07,0.01707715994921464,hold_days,0.020547835324493446,0.019547835324493446,5,0.0337050779876793,-0.014157242663185854
ORCL,2018-10-11,2018-10-15,2018-10-22,0.012826078402543387,hold_days,0.017402365861977964,0.016402365861977963,5,-0.0015191063387538506,0.017921472200731814
ORCL,2018-11-27,2018-11-29,2018-12-07,0.015809523620780065,hold_days,-0.039666031678509905,-0.040666031678509906,5,-0.039196384488959346,-0.0014696471895505603
ORCL,2018-12-07,2018-12-11,2018-12-18,0.01456530082152492,hold_days,-0.013129746922477037,-0.014129746922477038,5,-0.031183331431110073,0.017053584508633035
ORCL,2019-12-17,2019-12-19,2019-12-27,0.01040894907044523,hold_days,0.004132313915059527,0.0031323139150595267,5,0.007138150436065249,-0.0040058365210057225
ORCL,2020-04-21,2020-04-23,2020-04-30,0.018709703385106337,hold_days,0.019241978816975536,0.018241978816975535,5,0.04305685845156337,-0.02481487963458784
ORCL,2021-09-14,2021-09-16,2021-09-17,0.015511135606449513,early_reversal,-0.009856411306937263,-0.010856411306937264,1,-0.008367358500751432,-0.002489052806185832
ORCL,2023-03-10,2023-03-14,2023-03-15,0.010229463294702295,early_reversal,-0.018684935795610702,-0.019684935795610703,1,-0.00993700553379695,-0.009747930261813753
ORCL,2023-10-20,2023-10-24,2023-10-25,0.01777131407598638,early_reversal,-0.017151133466278057,-0.018151133466278058,1,-0.011314710980542042,-0.006836422485736016
ORCL,2024-05-24,2024-05-29,2024-05-30,0.012854865748756423,early_reversal,-0.053741804122428016,-0.05474180412242802,1,-0.00786171819609327,-0.04688008592633475
ORCL,2024-07-25,2024-07-29,2024-07-30,0.008634282158822861,early_reversal,-0.01908757267036265,-0.020087572670362652,1,-0.0071214859029821165,-0.012966086767380536
ORCL,2024-10-31,2024-11-04,2024-11-11,0.012988745441929475,hold_days,0.11521921146516712,0.11421921146516711,5,0.05199651173498032,0.06222269973018679
ORCL,2025-02-21,2025-02-25,2025-03-04,0.012812431642752132,hold_days,-0.06568165911518764,-0.06668165911518764,5,-0.0219485438265713,-0.04473311528861634
TXN,2015-12-18,2015-12-22,2015-12-30,0.01601727566492667,hold_days,0.00989012685758106,0.00889012685758106,5,0.011026488685258462,-0.002136361827677402
TXN,2016-04-07,2016-04-11,2016-04-18,0.012948378237394123,hold_days,0.019543472415292085,0.018543472415292084,5,0.030171130027284665,-0.011627657611992581
TXN,2016-04-19,2016-04-21,2016-04-22,0.010784414857296075,early_reversal,-0.0030580546914690254,-0.0040580546914690254,1,0.0018472707022048063,-0.005905325393673832
TXN,2016-04-29,2016-05-03,2016-05-04,0.014200498142789505,early_reversal,-0.013461195302328366,-0.014461195302328367,1,-0.00988613231058022,-0.004575062991748147
TXN,2016-09-09,2016-09-13,2016-09-20,0.019049132357678775,hold_days,0.025648580654455078,0.024648580654455077,5,0.006249402496069756,0.01839917815838532
TXN,2016-12-30,2017-01-04,2017-01-05,0.008359896533286696,early_reversal,-0.007756294484406068,-0.008756294484406069,1,-0.0023797706984671763,-0.006376523785938892
TXN,2017-01-31,2017-02-02,2017-02-09,0.00966376101078589,hold_days,-0.007774484869912057,-0.008774484869912058,5,0.007261891129957787,-0.016036375999869845
TXN,2017-02-28,2017-03-02,2017-03-03,0.0199687245554584,early_reversal,-0.002817657412688246,-0.003817657412688246,1,-0.0030186686381591388,-0.0007989887745291071
TXN,2017-03-21,2017-03-23,2017-03-24,0.011786311499016551,early_reversal,-0.0009915449837897272,-0.0019915449837897272,1,0.000983928753908847,-0.0029754737376985743
