stock,L1_date,H1_date,L2_date,entry_date,exit_date,rise1,drop2,ret,ret_net,bench_ret,excess_ret
UPS,2019-12-02,2019-12-13,2019-12-20,2019-12-23,2019-12-31,0.0033834132298540946,0.010284848580275353,-0.015806418714644055,-0.016806418714644056,-0.005729589227432608,-0.011076829487211448
UPS,2020-04-30,2020-05-08,2020-05-13,2020-05-18,2020-05-26,0.0017961548948937215,0.043129847208402246,0.020687328230957647,0.019687328230957646,0.00829384394296584,0.011393484287991806
UPS,2020-12-03,2020-12-09,2020-12-10,2020-12-16,2020-12-23,0.008043960052620383,0.029199602631532495,0.01475320135045588,0.01375320135045588,-0.006521567260832306,0.020274768611288185
UPS,2021-11-26,2021-12-07,2021-12-14,2021-12-15,2021-12-22,0.00043864173210457437,0.008033494463335393,0.012975710059274004,0.011975710059274003,-0.016868163075035914,0.028843873134309916
UPS,2022-02-17,2022-02-25,2022-03-07,2022-03-15,2022-03-22,0.0036330911150881406,0.04177187041123936,0.03747685666191192,0.036476856661911916,0.048161458156163794,-0.011684601494251878
UPS,2023-05-10,2023-05-17,2023-05-24,2023-05-26,2023-06-05,0.008372126343897201,0.021241904144214105,-0.021682028032735112,-0.022682028032735113,0.005089727442774805,-0.02777175547550992
UPS,2023-12-20,2024-01-02,2024-01-12,2024-01-22,2024-01-29,0.008792120664615008,0.00018941561381741103,-0.003656897628542932,-0.004656897628542932,0.0021860715419181886,-0.006842969170461121
UPS,2024-01-30,2024-02-06,2024-02-13,2024-02-15,2024-02-23,0.005928598831499641,0.006990063690328318,0.022566093857700142,0.02156609385770014,0.016792218160116335,0.004773875697583807
UPS,2024-04-12,2024-04-22,2024-05-01,2024-05-02,2024-05-09,0.0031054399759228813,-0.0038524847524718706,0.005705687646136326,0.004705687646136326,0.02547015364615901,-0.020764466000022685
UPS,2024-08-05,2024-08-13,2024-08-22,2024-08-23,2024-08-30,0.003729646163733954,-0.015534550635999293,0.004532453611011178,0.003532453611011178,0.006916902635441202,-0.0033844490244300243
UPS,2024-12-30,2025-01-08,2025-01-10,2025-01-15,2025-01-23,0.011490481755957759,0.02745344380355497,0.04816834962014194,0.047168349620141936,0.0404133253231016,0.006755024297040335
UPS,2025-04-30,2025-05-08,2025-05-20,2025-05-21,2025-05-29,0.017313817964846642,-0.022743184553057717,0.023474248600802383,0.022474248600802382,0.006048123171120912,0.01642612542968147
UPS,2025-05-20,2025-05-29,2025-06-05,2025-06-06,2025-06-13,0.005638186914392599,0.012538182992431928,0.017811749030973045,0.016811749030973044,0.01683024174528014,-1.8492714307094538e-05
UPS,2025-06-17,2025-06-27,2025-07-07,2025-07-08,2025-07-15,0.015150056859049897,0.0032615608725354893,-0.02783744813345157,-0.02883744813345157,-0.015324779501362462,-0.013512668632089109
