stock,L_date,L2_date,entry_date,exit_date,fall,retest_pct,ret,ret_net,bench_ret,excess_ret
MRK,2020-02-13,2020-02-18,2020-02-19,2020-02-26,0.0723179914560985,0.005977881417396556,-0.025122039584468236,-0.026122039584468237,-0.07796593874409452,0.05184389915962628
MRK,2020-09-08,2020-09-10,2020-09-11,2020-09-18,0.04141257421152869,0.0028799634944380523,0.023130894805243996,0.022130894805243995,0.014086504258688848,0.008044390546555147
MRK,2020-09-23,2020-09-25,2020-09-28,2020-10-05,0.03705874403084196,0.0036307501119698087,-0.018366465952102007,-0.019366465952102008,0.013273297643545678,-0.032639763595647686
MRK,2020-12-21,2020-12-23,2020-12-24,2021-01-04,0.0425765183147573,0.005927811019336451,0.010231758785873346,0.009231758785873345,0.0034249801365355825,0.005806778649337763
MRK,2021-01-27,2021-01-29,2021-02-01,2021-02-08,0.0756776626443113,0.0,-0.02998989949131492,-0.03098989949131492,0.03062981166675649,-0.06161971115807141
MRK,2021-04-08,2021-04-12,2021-04-13,2021-04-20,0.03588788790291791,0.009670265243714045,0.027999435070334977,0.026999435070334976,0.00021230532502891641,0.02678712974530606
MRK,2021-07-20,2021-07-22,2021-07-23,2021-07-30,0.030422596256716852,0.0047263537173210645,-0.008641002590901059,-0.00964100259090106,-0.001872915697128441,-0.007768086893772619
MRK,2021-09-17,2021-09-21,2021-09-22,2021-09-29,0.06390870683967273,0.004045306590433436,0.04233729684569565,0.04133729684569565,0.005058832270044,0.03627846457565165
MRK,2021-12-07,2021-12-09,2021-12-10,2021-12-17,0.12705305663870722,0.008024252517437878,0.05216335715687426,0.051163357156874256,-0.01575393231310296,0.06691728946997721
MRK,2022-01-24,2022-01-26,2022-01-27,2022-02-03,0.04297687184858743,0.003932555022366889,-0.019483515045920274,-0.020483515045920275,0.034927118624069386,-0.05541063366998966
MRK,2022-06-13,2022-06-15,2022-06-16,2022-06-24,0.08680708989572447,0.003795273166318858,0.09706694544666417,0.09606694544666416,0.05600934003905178,0.040057605407612384
MRK,2022-07-20,2022-07-22,2022-07-25,2022-08-01,0.05591814576849897,0.005130959314973278,-0.0220921176923915,-0.0230921176923915,0.033288949159561376,-0.05638106685195288
MRK,2023-01-09,2023-01-11,2023-01-12,2023-01-20,0.03883668627886571,0.006251103941956906,-0.01637290874731523,-0.01737290874731523,-0.019435409589514063,0.0020625008421988333
MRK,2023-02-28,2023-03-02,2023-03-03,2023-03-10,0.03933460523124079,0.007247868991912867,0.007578477892360658,0.006578477892360658,-0.04218124819251712,0.048759726084877775
MRK,2023-07-17,2023-07-19,2023-07-20,2023-07-27,0.0851027775854841,0.0035996301104390467,-0.02941158894925411,-0.03041158894925411,-0.0001562802888485093,-0.0302553086604056
