stock,entry_date,exit_date,branch,z,spy_z,ret,ret_net,bench_ret,excess_ret
KO,2020-06-11,2020-06-18,market_wide,-3.9323083226494666,-3.034098724813358,0.04121412763323007,0.04021412763323007,0.032490347591615176,0.007723780041614892
KO,2020-06-19,2020-06-26,market_wide,-2.389594255277078,-1.7531576278939376,-0.053237703842426654,-0.054237703842426654,-0.02880935720350508,-0.025428346638921573
KO,2020-06-29,2020-07-07,market_wide,-2.4608648378392535,-1.983607100230946,0.01916183794630899,0.01816183794630899,0.023603721802705424,-0.0054418838563964345
KO,2020-08-03,2020-08-10,idiosyncratic,-2.84608151581723,0.9604756271272256,0.030669792367688853,0.029669792367688852,0.025229496471405266,0.004440295896283586
KO,2020-08-20,2020-08-27,idiosyncratic,-2.659782266690931,-0.19589399808489144,0.018584956468800984,0.017584956468800983,0.037104418039750175,-0.019519461570949193
KO,2020-09-21,2020-09-28,market_wide,-3.5169009852808637,-4.025288781552557,0.003870521232790969,0.002870521232790969,0.009370379011758523,-0.006499857778967554
KO,2020-09-29,2020-10-06,market_wide,-2.1298639091209957,-1.1700198497614078,0.0004090792690023548,-0.0005909207309976452,0.007618230055078445,-0.008209150786076091
KO,2020-10-19,2020-10-26,market_wide,-2.2666923241690133,-1.964660672921002,0.0036273865804783423,0.0026273865804783423,-0.017634511401465214,0.020261897981943555
KO,2020-10-27,2020-11-03,market_wide,-2.473788342285351,-3.660234723922188,-0.011022033568571232,-0.012022033568571233,0.005249487021493193,-0.017271520590064426
KO,2020-11-23,2020-12-01,market_wide,-2.4631087824300413,-1.7316539630324241,-0.004403009442296435,-0.005403009442296435,0.01325270233173681,-0.018655711774033246
KO,2020-12-02,2020-12-09,idiosyncratic,-2.521070752017565,0.21430395819586637,0.0234118249544788,0.0224118249544788,0.01394907850709659,0.008462746447382208
KO,2020-12-21,2020-12-29,market_wide,-3.6406847728202747,-1.1768620158123186,0.024995446596450588,0.023995446596450587,-0.00036459394408328016,0.024360040540533867
KO,2021-01-04,2021-01-11,market_wide,-2.9263310072465902,-2.2523480388447723,-0.0485214613315651,-0.0495214613315651,0.03239574393519229,-0.08191720526675739
KO,2021-01-15,2021-01-25,market_wide,-3.632331936609633,-1.337241295237996,0.0016427085283385878,0.0006427085283385878,0.005437631029354906,-0.004794922501016318
KO,2021-01-27,2021-02-03,market_wide,-2.6609059580748684,-3.189277166898783,0.004945107757785561,0.003945107757785561,0.022606165260309785,-0.018661057502524225
KO,2021-02-26,2021-03-05,market_wide,-6.80289729624098,-3.772517494007027,0.036742092335973364,0.03574209233597336,0.01893940930648741,0.016802683029485954
KO,2021-04-13,2021-04-20,idiosyncratic,-2.0337392279122155,0.18894838407409556,0.020342847647416562,0.01934284764741656,0.0002123232451711754,0.019130524402245386
KO,2021-05-12,2021-05-19,market_wide,-2.3600389245468403,-7.250327227665126,0.0024055169530505793,0.0014055169530505793,0.02457754071166396,-0.02317202375861338
KO,2021-06-16,2021-06-23,market_wide,-4.324930394094842,-1.5855895515315939,-0.010060759424856291,-0.011060759424856292,-0.0038171746263916395,-0.007243584798464653
KO,2021-06-24,2021-07-01,idiosyncratic,-2.0070010287674585,0.47643956618181527,-0.007905875200597823,-0.008905875200597824,0.011156014220430555,-0.020061889421028378
KO,2021-07-06,2021-07-13,idiosyncratic,-3.2419233557195075,-0.20565859123150507,0.021157828850015825,0.020157828850015824,0.007346439797002002,0.012811389053013822
KO,2021-08-05,2021-08-12,idiosyncratic,-2.2411768642659293,0.35239707614335675,0.006017663351510327,0.005017663351510327,0.0012133206907742888,0.0038043426607360384
KO,2021-08-18,2021-08-25,market_wide,-2.3956953833725683,-3.381729639417423,-0.007610551077888439,-0.00861055107788844,0.010889175648711946,-0.019499726726600386
KO,2021-08-27,2021-09-03,idiosyncratic,-2.9383728045746067,0.4031662175115399,0.01940700856034705,0.01840700856034705,0.0029506563704639888,0.01545635218988306
KO,2021-09-10,2021-09-17,market_wide,-2.4375747732944575,-3.7272398124953874,-0.013651026001138988,-0.01465102600113899,-0.007838822461382788,-0.006812203539756201
