stock,entry_date,exit_date,ret,ret_net,exit_reason,bench_ret,excess_ret
T,2025-08-28,2025-09-02,0.00483759564422459,0.0038375956442245904,market_dd,-0.00701671297673534,0.01085430862095993
BAC,2015-09-22,2015-09-28,-0.006422607229351174,-0.007422607229351174,market_dd,-0.02882529690774016,0.021402689678388986
BAC,2017-06-02,2017-06-09,0.05434277200092108,0.05334277200092108,hold_days,-0.0009474465666676757,0.054290218567588755
BAC,2017-07-20,2017-07-27,0.007101316500086385,0.006101316500086385,hold_days,0.0017124009483309166,0.004388915551755469
BAC,2019-03-27,2019-04-03,0.06696276498178855,0.06596276498178855,hold_days,0.026427113017050807,0.03953565196473774
BAC,2019-05-28,2019-05-31,-0.046594899894073616,-0.04759489989407362,market_dd,-0.013909531965318078,-0.03368536792875554
BAC,2019-08-09,2019-08-12,-0.024355880636107052,-0.025355880636107053,market_dd,-0.012812039804595332,-0.012543840831511721
BAC,2019-08-27,2019-09-04,0.038534148944645796,0.037534148944645795,hold_days,0.02578541750280028,0.011748731441845517
BAC,2021-08-04,2021-08-11,0.09615895920506357,0.09515895920506356,hold_days,0.014086946652897003,0.08107201255216656
BAC,2022-08-04,2022-08-11,0.0751497165065802,0.0741497165065802,hold_days,0.014006579569565636,0.06014313693701456
BAC,2022-09-29,2022-09-30,-0.01500318355438468,-0.01600318355438468,market_dd,-0.016283420104895474,0.0002802365505107929
